Bin_Edges,Frequency
-12.39655226,4
-11.70740955,7
-11.018266839999999,0
-10.32912413,2
-9.63998142,0
-8.95083871,4
-8.261696,16
-7.57255329,3
-6.88341058,5
-6.194267869999999,19
-5.5051251599999995,4
-4.81598245,2
-4.126839739999999,3
-3.437697029999999,58
-2.74855432,105
-2.0594116099999997,212
-1.3702688999999992,2529
-0.6811261899999987,4107
0.008016520000001748,2252
0.6971592300000005,1170
1.386301940000001,125
2.0754446500000014,109
2.76458736,12
3.4537300700000007,4
4.142872780000001,2
4.83201549,0
5.521158200000002,1
6.210300910000001,0
6.8994436199999996,0
7.588586330000002,0
8.27772904,2
8.966871750000003,0
9.656014460000002,0
10.34515717,0
11.034299880000003,0
11.723442590000001,0
12.412585300000003,0
13.101728010000002,0
13.790870720000001,0
14.480013430000003,0
15.169156140000002,0
15.85829885,0
16.547441560000003,0
17.23658427,0
17.92572698,0
18.614869690000003,0
19.3040124,1
19.993155110000004,0
20.682297820000002,0
21.37144053,1
