Nd0,Nd1,Nd,Np0,Np1,Np,Ns0,Ns1,Ns,Out_e0,Out_e1,Out_e,ψ0,ψ1,ψ,First_IE0,First_IE1,First_IE,CN,L_bond,R0,R1,R,ΔGH
10.0,7.0,7.254178,1.0,6.0,5.015753,2.0,2.0,2.0,3.0,9.0,8.063626,1.62,1.91,1.878804,6.106,7.16,7.046889,7.5,1.799855,1.45,1.26,1.277822,1.251849374
6.69433,7.400828,7.28451,6.0,6.0,6.0,2.0,2.0,2.0,8.962809,9.641141,9.530719,1.659451,1.667036,1.665836,8.224936,8.410572,8.380985,7.5,2.065359,1.503798,1.487589,1.490136,-0.396295166
9.0,9.0,9.0,6.0,6.0,6.0,1.0,1.0,1.0,11.0,11.0,11.0,2.54,2.261526,2.305722,9.225,8.593334,8.695525,6.954545455,1.888578,1.36,1.343857,1.346534,0.36809043
6.31636,6.480741,6.454504,6.0,6.0,6.0,2.0,2.0,2.0,8.320335,8.485281,8.459022,2.2,2.2,2.2,8.831341,8.897753,8.887233,7.5,1.934384,1.42993,1.424921,1.425711,-0.160421856
9.0,9.0,9.0,6.0,6.0,6.0,1.0,1.0,1.0,11.0,11.0,11.0,2.54,2.362184,2.389409,9.225,8.824974,8.886963,7.5,1.88806,1.36,1.349888,1.351479,0.411941031
7.0,10.0,9.649611,6.0,6.0,6.0,2.0,2.0,2.0,9.0,12.0,11.6597,2.2,1.69,1.735163,9.1,8.993,9.003643,7.5,1.594228,1.41,1.44,1.436971,-0.529411079
6.0,9.29624,8.801117,6.0,2.339862,2.632148,2.0,2.0,2.0,8.0,4.416358,4.756828,2.2,1.992612,2.017427,7.37,7.347709,7.350491,5.0,1.626554,1.46,1.399791,1.407179,-0.151672308
2.0,5.665706,4.931255,6.0,6.0,6.0,2.0,1.237726,1.319508,4.0,8.057743,7.339384,1.54,2.17755,2.079259,6.82,8.406257,8.175109,7.333333333,1.870969,1.6,1.429737,1.451347,-0.62465582
10.0,10.0,10.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.81,1.760507,1.768231,5.999,6.025573,6.021369,7.5,2.02653,1.22,1.273831,1.265176,0.647555697
9.0,9.0,9.0,6.0,6.0,6.0,1.0,1.0,1.0,11.0,11.0,11.0,2.305722,2.396722,2.38131,8.695525,8.903567,8.868551,6.954545455,1.857487,1.346534,1.351904,1.351008,0.283857456
5.451362,3.650186,3.902534,6.0,6.0,6.0,1.259921,1.515717,1.469734,7.851424,5.995054,6.270742,2.14979,1.881247,1.923554,8.341402,7.69586,7.799872,6.954545455,2.028199,1.435707,1.499297,1.488506,0.067639881
0.0,0.0,0.0,1.0,2.047673,1.817121,2.0,2.0,2.0,3.0,3.68011,3.556893,1.61,1.565064,1.572465,5.986,6.685176,6.563218,6.954545455,1.876458,1.21,1.386279,1.35521,0.982844164
9.0,9.0,9.0,6.0,6.0,6.0,1.0,1.0,1.0,11.0,11.0,11.0,2.305722,2.362184,2.353178,8.695525,8.824974,8.804408,7.5,1.864956,1.346534,1.349888,1.349358,0.313697459
0.0,0.0,0.0,1.0,1.565085,1.458214,2.0,2.0,2.0,3.0,3.408658,3.340614,1.61,1.581766,1.586191,5.986,6.413894,6.344352,7.5,1.933747,1.21,1.31735,1.299788,0.458949513
7.0,7.740265,7.611663,6.0,6.0,6.0,2.0,1.515717,1.587401,9.0,9.7522,9.622603,2.28,2.119641,2.145562,7.46,7.565283,7.547633,6.954545455,1.853017,1.42,1.379122,1.385852,-0.411978991
7.0,7.384053,7.318611,6.0,6.0,6.0,2.0,1.515717,1.587401,9.0,9.387404,9.321698,1.91,2.050189,2.026129,7.16,7.845937,7.727212,6.954545455,1.741743,1.26,1.299086,1.292488,-0.305661937
0.0,0.0,0.0,1.0,1.817121,1.71177,2.0,2.0,2.0,3.0,3.301927,3.270415,1.61,1.499219,1.509945,5.986,6.199619,6.177919,7.5,1.63519,1.21,1.368368,1.35164,0.523650565
10.0,9.146101,9.283178,1.0,2.047673,1.817121,2.0,1.515717,1.587401,3.0,4.855934,4.481405,1.81,1.985094,1.954778,5.999,7.055768,6.867522,6.954545455,1.913208,1.22,1.274182,1.264987,0.829196718
5.0,6.325269,6.082202,6.0,6.0,6.0,2.0,1.515717,1.587401,7.0,8.387179,8.138223,1.9,1.911944,1.909948,7.28,7.396986,7.377359,6.954545455,1.930588,1.47,1.461967,1.463303,-0.451415497
8.0,7.113118,7.246318,6.0,6.0,6.0,2.0,2.0,2.0,10.0,9.146912,9.276605,2.2,2.120828,2.133137,8.34,8.222542,8.240977,7.5,1.856245,1.39,1.419075,1.414444,-0.002058949
2.0,2.912951,2.745038,6.0,6.0,6.0,2.0,1.681793,1.728444,4.0,5.151019,4.949383,1.33,1.454043,1.433714,6.84,7.051488,7.017665,7.5,2.126365,1.75,1.63088,1.649135,-0.97658024
2.0,1.681793,1.728444,6.0,6.0,6.0,2.0,2.0,2.0,4.0,3.722419,3.764932,1.33,1.268344,1.277885,6.84,6.499684,6.55227,7.5,2.175451,1.75,1.825035,1.812977,-0.787291051
3.0,0.0,0.0,6.0,3.833659,4.114622,2.0,2.0,2.0,5.0,4.400559,4.490193,1.63,1.624977,1.625769,6.74,6.543033,6.573746,7.5,1.886843,1.53,1.442829,1.456255,-1.043982974
2.0,2.990698,2.806607,6.0,3.833659,4.114622,2.0,2.0,2.0,4.0,3.722419,3.764932,1.54,1.596782,1.587679,6.82,6.54535,6.587969,7.5,1.965868,1.6,1.552966,1.5603,-1.101696142
7.0,10.0,9.37208,6.0,1.0,1.385103,2.0,2.0,2.0,9.0,3.0,3.663284,2.28,1.62,1.723854,7.46,6.106,6.332449,4.285714286,1.779124,1.42,1.45,1.444499,-0.115064561
3.301927,2.70192,2.793755,6.0,6.0,6.0,1.587401,1.741101,1.714488,5.604079,4.89696,5.00829,1.49791,1.428341,1.439708,7.123427,7.008673,7.02767,6.954545455,2.038284,1.593003,1.654037,1.643705,-0.570364892
1.0,1.414214,1.338904,6.0,6.0,6.0,2.0,2.0,2.0,3.0,3.567621,3.471331,1.1,1.302141,1.267914,5.577,5.923792,5.867635,7.363636364,2.410995,2.07,1.922463,1.945039,-0.692362097
1.587401,1.640671,1.631142,6.0,6.0,6.0,2.0,2.0,2.0,3.634241,3.68437,3.675474,1.248433,1.259772,1.257764,6.39005,6.45247,6.44141,6.285714286,2.194085,1.850755,1.836013,1.838606,-0.879859553
3.0,4.655537,4.326749,6.0,6.0,6.0,2.0,1.515717,1.587401,5.0,6.853921,6.502957,1.63,1.733062,1.715443,6.74,7.118325,7.053827,6.954545455,1.918541,1.53,1.442263,1.456528,-1.039755685
0.0,0.0,0.0,3.301927,3.833659,3.744334,2.0,2.0,2.0,4.217163,4.400559,4.37108,1.623306,1.624977,1.624713,6.478665,6.543033,6.532827,7.5,1.915185,1.41489,1.442829,1.438381,-0.637742455
1.0,2.511886,2.154435,6.0,3.866364,4.160168,2.0,2.0,2.0,3.0,3.365865,3.301927,1.1,1.485176,1.412691,5.577,6.250407,6.132775,6.954545455,2.445128,2.07,1.800211,1.8426,-0.7877531
3.0,10.0,8.865682,6.0,6.0,6.0,2.0,2.0,2.0,5.0,12.0,10.994111,1.5,2.0,1.943283,7.89,10.437,10.14906,6.833333333,1.775838,1.7,1.32,1.353822,-0.420713709
5.277632,4.582576,4.685902,6.0,6.0,6.0,2.0,2.0,2.0,7.398636,6.708204,6.812774,1.978435,1.876166,1.891955,8.290049,7.912522,7.970968,7.5,1.944391,1.482839,1.520658,1.514623,-0.477370532
3.0,6.904214,6.178009,6.0,1.735526,2.047673,2.0,2.0,2.0,5.0,3.510609,3.68011,1.6,1.742605,1.72288,6.88,6.257336,6.336985,7.333333333,1.950761,1.64,1.336267,1.373262,-0.478759265
3.0,6.69433,6.178009,6.0,1.817121,2.047673,2.0,2.0,2.0,5.0,3.556893,3.68011,1.6,1.737104,1.72288,6.88,6.27936,6.336985,7.5,1.831052,1.64,1.346443,1.373262,0.094082271
7.0,10.0,9.503228,6.0,1.0,1.291708,2.0,2.0,2.0,9.0,3.0,3.509792,2.28,1.62,1.701053,7.46,6.106,6.283228,4.888888889,1.583552,1.42,1.45,1.445676,-0.070312447
3.0,3.948222,3.780662,6.0,6.0,6.0,2.0,1.681793,1.728444,5.0,6.089416,5.902813,1.63,1.693671,1.683455,6.74,6.974027,6.936542,7.5,1.889654,1.53,1.474559,1.483177,-1.008080818
1.0,1.778279,1.623777,6.0,4.559014,4.761071,2.0,2.0,2.0,3.0,3.22371,3.187309,1.1,1.327038,1.288299,5.577,5.988843,5.921848,7.5,2.404292,2.07,1.896994,1.923317,-0.679481725
0.0,0.0,0.0,1.0,1.817121,1.71177,2.0,2.0,2.0,3.0,3.0,3.0,1.61,1.467812,1.481447,5.986,6.114553,6.101574,7.5,1.636155,1.21,1.406398,1.385402,0.15667757
2.0,3.807308,3.419952,6.0,2.930156,3.301927,2.0,2.0,2.0,4.0,3.565205,3.634241,1.54,1.631851,1.61617,6.82,6.385898,6.456281,6.954545455,1.981677,1.6,1.525413,1.537598,-1.107886596
2.0,1.515717,1.587401,6.0,6.0,6.0,2.0,2.0,2.0,4.0,3.565205,3.634241,1.33,1.23273,1.248433,6.84,6.303677,6.39005,6.954545455,2.126257,1.75,1.871591,1.850755,-0.934639198
2.0,3.650186,3.301927,6.0,6.0,6.0,2.0,1.515717,1.587401,4.0,5.995054,5.604079,1.33,1.533954,1.49791,6.84,7.181506,7.123427,6.954545455,2.180293,1.75,1.563336,1.593003,-1.012813286
1.0,10.0,7.943282,6.0,2.0,2.232246,2.0,2.0,2.0,3.0,4.0,3.886567,1.22,2.33,2.184018,6.38,7.416,7.305246,7.5,2.038997,1.9,1.46,1.49897,0.386519204
5.039684,4.594793,4.666116,6.0,6.0,6.0,1.587401,1.741101,1.714488,7.113787,6.645398,6.721264,1.845229,1.768778,1.781297,7.441072,7.163316,7.208878,6.954545455,1.861992,1.379927,1.383948,1.383277,-0.493524025
10.0,9.457416,9.541088,1.0,1.565085,1.458214,2.0,1.681793,1.728444,3.0,4.0536,3.865458,1.81,1.917532,1.900138,5.999,6.639261,6.533802,7.5,1.933742,1.22,1.253587,1.248223,0.793602459
1.0,1.681793,1.54926,6.0,6.0,6.0,2.0,2.0,2.0,3.0,4.0536,3.865458,1.36,1.533769,1.504924,8.54,8.489555,8.4975,7.5,2.065545,1.7,1.616555,1.629453,-1.153318586
5.0,5.791461,5.658634,6.0,6.0,6.0,2.0,1.681793,1.728444,7.0,7.837394,7.698803,1.9,1.907456,1.906277,7.28,7.352898,7.341339,6.954545455,1.990525,1.47,1.464974,1.465767,-0.661377583
5.0,8.0,7.632696,6.0,6.0,6.0,2.0,2.0,2.0,7.0,10.0,9.649611,1.9,2.2,2.167983,7.88,8.34,8.292817,7.5,1.725336,1.51,1.39,1.401558,-0.420840923
5.039684,4.756828,4.800411,6.0,6.0,6.0,1.587401,1.681793,1.666524,7.113787,6.817316,6.863292,1.845229,1.797069,1.804589,7.441072,7.266238,7.293568,7.5,1.863261,1.379927,1.382439,1.382042,-0.47574574
10.0,5.848035,6.170339,1.0,1.817121,1.71177,2.0,2.0,2.0,3.0,3.301927,3.270415,1.81,1.633314,1.650177,5.999,6.267167,6.23982,7.5,1.614139,1.22,1.375897,1.35945,0.619489467
6.0,10.0,9.502002,6.0,1.0,1.196231,2.0,2.0,2.0,8.0,3.0,3.309163,2.2,1.81,1.845665,8.7,5.999,6.226198,7.5,1.617484,1.44,1.22,1.240395,-0.314988367
2.0,10.0,8.513399,6.0,1.0,1.196231,2.0,2.0,2.0,4.0,3.0,3.087558,1.33,1.81,1.755076,6.84,5.999,6.078222,7.5,1.891857,1.75,1.22,1.264817,0.364190223
6.6494,6.735368,6.721721,6.0,6.0,6.0,2.0,2.0,2.0,8.653497,8.738852,8.725319,2.2,2.2,2.2,8.964664,8.998308,8.992987,7.5,1.920246,1.41993,1.417441,1.417834,-0.119764103
4.762203,5.223303,5.143464,6.0,6.0,6.0,2.0,2.0,2.0,6.839904,7.282257,7.206593,1.936328,2.037776,2.020506,7.539409,7.471183,7.482511,6.954545455,1.941164,1.535978,1.505123,1.510222,-0.612916965
4.0,1.587401,2.0,6.0,6.0,6.0,2.0,2.0,2.0,6.0,3.779763,4.242641,1.66,1.453434,1.502531,6.766,7.902222,7.601424,4.142857143,1.837228,1.39,1.58966,1.537205,-0.51529218
8.0,4.756828,5.163757,6.0,6.0,6.0,1.0,1.189207,1.15711,10.0,7.400828,7.761046,2.28,1.9002,1.955665,9.0,7.985131,8.137412,7.5,1.900217,1.36,1.510591,1.485749,-0.41731596
4.0,2.828427,2.987518,6.0,6.0,6.0,2.0,2.0,2.0,6.0,5.045378,5.185331,1.66,1.579304,1.59178,6.766,7.171557,7.105942,6.571428571,1.913267,1.39,1.461751,1.45018,-0.784971416
10.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.81,1.740715,1.747522,5.999,5.994664,5.995097,7.5,1.602144,1.22,1.216658,1.216991,0.689598917
