name,seed,num_parameters,r2,mae,rmse,loss
ffn_heavy,42,5178177,0.9204306078525479,0.09910274506681271,0.1965315037081206,0.08553526737512304
ffn_light,42,4537537,0.9263316544434709,0.10402662263084796,0.18910352096366959,0.0791729892245852
attention_heavy,42,7823873,0.9183023375124261,0.10152611155453585,0.1991425079667498,0.08779569825587365
edge_heavy,42,5847553,0.932454175446058,0.09606811150763878,0.18107496531179212,0.07260087335912081
radial_heavy,42,4988929,0.8957971502784817,0.11315361371783858,0.22490491938072008,0.11197539615229918
balanced,42,6765825,0.9165377025740145,0.10461628811165381,0.20128171513777507,0.089697955083102
