lmax,max_radius,mae,rmse,r2,num_parameters
3,8.0,0.2744435679540038,0.43114048439526015,0.5716061720890426,12994945
3,12.0,0.3114099880680442,0.48457742311539864,0.45883220134697533,12994945
3,16.0,0.25961700405925514,0.374225763014631,0.6772450143960476,12994945
4,8.0,0.26664248522371053,0.4253389286947985,0.5830577936912962,19490817
4,12.0,0.2961533571407199,0.4660854534918379,0.49934715074717695,19490817
4,16.0,0.27855368923395873,0.42144047174851396,0.5906657607095076,19490817
