num_gaussians,mae,rmse,r2,loss,num_parameters
32,0.10226053466302816,0.19357098514527987,0.922809792758345,0.08310404478964623,19404801
64,0.11320481413778676,0.22354913941683768,0.8970496823552864,0.1108216717694563,19433473
128,0.0970949464894763,0.19963186753540055,0.9179003273659498,0.08838670586055479,19490817
256,0.09543977980412141,0.18818116564450368,0.9270485388290765,0.07853999598936925,19605505
