model,mae,rmse,r2
DTR,0.0018427782155688638,0.020668038180665222,0.9995526718035246
ETR,0.0023442316844634334,0.026917510311563444,0.9992412520340546
RFR,0.002610803787323951,0.044610322861964015,0.9979159962483347
GBR,0.005540062322585148,0.015935346650761392,0.9997340801271914
XGBR,0.016172743363967523,0.1512284509875536,0.9760505926339635
MLP,0.019564258597160256,0.028001359370692345,0.9991789190154846
LGBMR,0.022279822571353445,0.14135892712143552,0.9790745770758382
SVR,0.04242740605626437,0.11063080200578128,0.9871831918024971
