模型名称,Test MAE (eV),Test RMSE (eV),Test Loss,融合模式,对齐模式
结构+表格融合 (Gate),0.10240032221412375,0.1856580892360873,0.034468926098794955,gate,idx
结构+表格融合 (Concat),0.10493165910066593,0.1866709535603436,0.03484604490312796,concat,idx
EquiformerV2 (最佳参数),0.11079736053943634,0.21859394013881683,0.10602476671338082,N/A,N/A
EquiformerV2 (基础),0.13199734687805176,0.23246857523918152,0.11995061700800942,N/A,N/A
