num_layers,sphere_channels,num_heads,grid_resolution,edge_channels,eSCN,attn_renorm,sep_s2,sep_ln,data_ratio,pretrained
2,64,4,10,64,0,0,0,0,1.0,0
2,64,4,12,64,0,0,0,0,1.0,0
2,64,4,14,64,0,0,0,0,1.0,0
2,64,4,16,64,0,0,0,0,1.0,0
2,64,4,18,64,0,0,0,0,1.0,0
2,64,4,20,64,0,0,0,0,1.0,0
2,64,4,22,64,0,0,0,0,1.0,0
