sphere_channels,r2,mae,rmse,loss,num_parameters
32,0.9117678232994547,0.10215315368074093,0.20695344186548978,0.09497896652410313,8117409
64,0.9212601060113556,0.09807027486716949,0.19550441517498918,0.08476320462371358,11908545
128,0.9347729147273935,0.08867533371349116,0.17793981837070239,0.07021897971681239,19490817
