idx,y_true,y_struct,y_hat,abs_y_hat
7201,-0.003567165,0.015940224356634,-0.00031115115,0.00031115115
3648,-0.021718086,0.2131440344845717,0.0009197742,0.0009197742
9198,-0.003224655,-0.7494616826118388,-0.0013705939,0.0013705939
5735,-0.005036419,-0.0893740644664258,0.002183184,0.002183184
1054,-0.029887079,-0.194978625153626,-0.0027000904,0.0027000904
10116,-0.005125264,0.1282523345219386,-0.00414072,0.00414072
8298,0.003141282,-0.053026914452064,-0.004164085,0.004164085
841,0.01330487,0.2157507176499811,0.0050510913,0.0050510913
4541,-0.007959602,0.5755989202830799,-0.0061822087,0.0061822087
7603,0.012602545,-0.242128910297067,-0.0062279254,0.0062279254
2247,-0.009648095,-0.4087421827216969,-0.008696377,0.008696377
7977,0.007469117,0.2243804988739591,0.008711293,0.008711293
9174,0.026842095,0.3583412555413243,0.0098837465,0.0098837465
560,-0.025931632,0.0610008250689238,-0.010034248,0.010034248
2324,-0.021205831,-0.0228846366487139,-0.010465592,0.010465592
884,-0.017959513,0.1866079338878934,-0.010708407,0.010708407
4714,0.020213432,0.0445969586168596,0.01153025,0.01153025
10815,0.018283325,-0.0834431633580481,0.012713596,0.012713596
5140,0.009033091,-0.1631971115850795,0.013847917,0.013847917
2859,-0.019218584,0.0390137052860073,-0.014534339,0.014534339
4630,0.004496137,-0.4589850670030275,0.015642956,0.015642956
4562,0.022138366,-0.2467614315776185,0.01686503,0.01686503
177,0.019411241,0.4554714641471951,0.01737319,0.01737319
3549,0.026770287,0.0160226133880611,0.018551677,0.018551677
9721,-0.007036885,0.0642826333717958,-0.019624174,0.019624174
5291,-0.014174138,0.1228322652191197,-0.019817278,0.019817278
9722,-0.007036875,0.0238865914592544,-0.020288788,0.020288788
8254,0.030428655,0.0649111865277395,0.020652458,0.020652458
3559,-0.01116796,-0.4009328690337472,-0.020772383,0.020772383
10031,0.022590755,0.3062807832702889,0.021745041,0.021745041
3505,0.032659919,-0.3790797453652302,0.023580298,0.023580298
5116,0.022315512,0.5243246958457571,0.02482967,0.02482967
1306,0.0293253,0.0377796472107384,0.026629254,0.026629254
5985,-0.029069377,-0.1998138366017601,-0.028128535,0.028128535
7310,-0.015547973,-0.1506239893334814,-0.028411612,0.028411612
10664,0.060778939,0.2640700695774664,0.028792366,0.028792366
5819,-0.031714188,-0.1112854501410606,-0.029562756,0.029562756
3867,0.026074492,0.5221596725476855,0.031383187,0.031383187
8003,0.040883677,0.2553031952553099,0.03547354,0.03547354
149,-0.029785173,0.0593102289699558,-0.035533316,0.035533316
3996,-0.040284957,-0.663628502956859,-0.03617367,0.03617367
1537,0.030186541,-0.1296237108985734,0.036222383,0.036222383
8187,-0.018318636,0.1713462582095551,-0.038378894,0.038378894
