num_layers,r2,mae,rmse,loss,num_parameters
1,0.9054863208407162,0.10354485754808276,0.21419360067873452,0.10175343916678768,3567297
2,0.9174289795233455,0.10247311128322269,0.20020410721739962,0.08889987044079456,6752001
3,0.9228097150565632,0.0943149412443759,0.19357108257218927,0.08309704052806546,9936705
4,0.9101485990459595,0.09810118966021017,0.2088437983506595,0.0967346619229782,13121409
