num_layers,sphere_channels,num_heads,grid_resolution,edge_channels,eSCN,attn_renorm,sep_s2,sep_ln,test_mae,test_rmse,test_loss,params,latency_ms,throughput,seed,error
2,64,4,16,64,1,1,1,1,0.11150643974542618,0.2105376273393631,0.09844902927199235,-1,-1.0,-1.0,0,
2,64,4,16,64,1,0,1,1,0.11474361270666122,0.21821635961532593,0.10572279744709913,-1,-1.0,-1.0,0,
2,64,4,16,64,1,1,0,1,0.11438928544521332,0.21797031164169312,0.10547040544736844,-1,-1.0,-1.0,0,
2,64,4,16,64,1,1,1,0,0.1087561696767807,0.20540091395378113,0.0936147283619413,-1,-1.0,-1.0,0,
2,64,4,16,64,1,0,0,0,0.11661919951438904,0.22218185663223267,0.10956517270264718,-1,-1.0,-1.0,0,
