num_layers,sphere_channels,num_heads,grid_resolution,edge_channels,seed,test_mae,test_rmse,test_loss,params
1,64,4,12,64,0,0.13570915162563324,0.23935572803020477,0.12717889798805118,-1
1,64,4,12,64,1,0.14891891181468964,0.265132337808609,0.15601668653006737,-1
1,64,4,12,64,2,0.14347705245018005,0.261953741312027,0.15224220368724603,-1
2,64,4,12,64,0,0.11920341849327087,0.22132444381713867,0.10872254534982718,-1
2,64,4,12,64,2,0.10316217690706253,0.19931456446647644,0.08813223866029428,-1
4,64,4,12,64,0,0.10504467040300369,0.21578790247440338,0.10332042560554468,-1
4,64,4,12,64,1,0.10565128177404404,0.20807518064975739,0.09605873171240091,-1
4,64,4,12,64,2,0.11513879150152206,0.21218737959861755,0.09988421419492134,-1
