lmax,mae,rmse,r2,loss,num_parameters
3,0.10414579317935543,0.21052650321311114,0.9086948571461554,0.09816262734910616,12994945
4,0.0995763110393423,0.18696969946723846,0.9279848041385734,0.0773961139556307,19490817
5,0.10762688211118668,0.20678841215408267,0.9119084841641039,0.09467300843590727,27461249
6,0.1138078368750734,0.20850521433010571,0.9104397026179366,0.09629705955202762,36906241
